ID,lemma,domain,pos,tagcount,source,status,comment,variant,project,owner,error_comment,verb_aspect
3924,"nauka o zdrowiu zwierząt",6,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,1,,NULL,0
3951,"nałożyć obowiązek",29,1,0,1,0,"brak danych <##nDD> <##VLC: DZd>",1,1,,NULL,1
3983,"nie móc spojrzeć w oczy",35,1,0,1,0,"brak danych <##nDD> <##VLC: ST>",1,1,,NULL,2
4000,"nie śmieć spojrzeć w oczy",35,1,0,1,0,"brak danych <##nDD> <##VLC: ST>",1,1,,NULL,2
4256,"nieść pomoc",39,1,0,1,0,"brak danych <##nDD> <##VLC: CZ>",1,1,,NULL,2
4484,"nosić w pamięci",29,1,0,1,0,"brak danych <##nDD> <##VLC: ST>",1,1,,NULL,2
4560,"obce terytorium",12,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,1,,NULL,0
4575,"obdarzać uczuciem",35,1,0,1,0,"##K: og. ##D: żywić do kogoś uczucie miłości. [##P: Na twoim miejscu zastanowiłabym się, czy ten chłopak naprawdę obdarza cię uczuciem, czy po prostu chce cię zaciągnąć do łóżka.] <##nDD> <##VLC: ST>",1,1,,NULL,2
4600,"obiekt sportowy",12,2,0,1,0,"##K: og. ##D: samodzielny, zwarty zespół urządzeń terenowych oraz budynków przeznaczonych do celów sportowych. {##L: http://pl.wikipedia.org/wiki/Obiekt_sportowy} <##s> <##nDD> ",1,1,,NULL,0
4608,"objąć umysłem",29,1,2114,0,0,"zrozumieć <##nDD> <##VLC: WY>",1,1,,NULL,1
144017,"element anatomiczny",5,2,0,1,0,"element części ciała <##s> <##nDD>",1,2,Agnieszka.Dziob,NULL,0
4975,"ogarnąć umysłem",29,1,283,0,0,"brak danych <##nDD> <##VLC: WY>",1,1,,NULL,1
5239,"osocze krwi",24,2,0,1,0,"##K: specj. ##D: zasadniczy płynny składnik krwi, w którym są zawieszone elementy morfotyczne (komórkowe); stanowi ok. 55% objętości krwi. {##L: http://pl.wikipedia.org/wiki/Osocze_krwi} <##nDD>",1,1,,NULL,0
5516,"pełnić rolę",40,1,218,0,0,"brak danych <##nDD> <##VLC: ST>",1,1,,NULL,2
5569,"piętnaście minut",25,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,1,,NULL,0
380531,"konik na biegunach",3,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,2,Justyna.Ławniczak,NULL,0
5608,"plac gry",12,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##s> <##nDD>",1,1,,NULL,0
5648,"pobierać nauki",29,1,0,1,0,"brak danych <##nDD> <##VLC: DZn>",1,1,,NULL,2
5700,"poczucie własnej godności",9,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,1,,NULL,0
5706,"podać się do dymisji",39,1,0,1,0,"brak danych <##nDD> <##VLC: AK>",1,1,,NULL,1
5723,"podawać się do dymisji",39,1,0,1,0,"brak danych <##nDD> <##VLC: CZ>",1,1,,NULL,2
5731,"poddać próbie",29,1,0,1,0,"np. próbie <##nDD> <##VLC: AK>",1,1,,NULL,1
5757,"podjąć decyzję",29,1,0,1,0,"##K: og. ##D: zdecydować w jakiejś sprawie, postanowić, rozstrzygnąć. [##KPWr: Teraz Agata musi w krótkim czasie podjąć decyzję, której być może będzie żałować przez resztę życia.]  <##nDD> <##VLC: AK>",1,1,,,1
5862,"pogoda ducha",9,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD> ##A1: {radość; szczęście} + s [Cechowały ją optymizm i pogoda ducha.] ##A2: {radość; szczęście} + s [Życzę ci pogody ducha i nigdy nieschodzącego z twarzy uśmiechu.]",1,1,,NULL,0
5883,"wziąć za żonę",28,1,0,1,0,"brak danych <##nDD> <##VLC: AK, DZd>",1,1,,NULL,1
5935,"pole bitwy",12,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##s> <##nDD>",1,1,,NULL,0
5977,"pomoc domowa",15,2,0,1,0,"##K: og. ##D: osoba (zwykle kobieta) zatrudniona do pomocy w domu, zwykle do sprzątania i prac kuchennych. [##P: Od kiedy zatrudniliśmy pomoc domową, w domu jest dużo czyściej.] <##nDD>",1,1,,NULL,0
6000,"ponieść odpowiedzialność",39,1,700,0,0,"brak danych <##nDD> <##VLC: WY>",1,1,,NULL,1
6001,"ponieść porażkę",31,1,0,1,0,"brak danych <##nDD> <##VLC: WY>",1,1,,NULL,1
6002,"ponieść śmierć",28,1,0,1,0,"brak danych <##nDD> <##VLC: PRd>",1,1,,NULL,1
6004,"ponosić odpowiedzialność",39,1,573,0,0,"<##nDD> <##VLC: ST>",1,1,,NULL,2
6005,"ponosić porażkę",31,1,0,1,0,"brak danych <##nDD> <##VLC: ST>",1,1,,NULL,2
6023,"poprosić o rękę",30,1,0,1,0,"brak danych <##nDD> <##VLC: DZd>",1,1,,NULL,1
6155,"posyłać uśmiech",35,1,0,1,0,"brak danych <##nDD> <##VLC: CZ>",1,1,,NULL,2
6202,"potrzeba picia",9,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,1,,NULL,0
6233,"powetować sobie",31,1,0,1,0,"brak danych <##nDD> <##VLC: AK>",1,1,,NULL,1
6243,"powiedzieć na ucho",30,1,0,1,0,"brak danych <##nDD> <##VLC: AK>",1,1,,NULL,1
6329,"pożegnać się z życiem",28,1,0,1,0,"brak danych <##nDD> <##VLC: PRd>",1,1,,NULL,1
6411,"praca pisemna",7,2,0,1,0,"##K: og. ##D: praca szkolna w formie pisemnej. [##P: Pani od polskiego mówiła, że przy wystawianiu stopni będzie brała pod uwagę oceny z prac pisemnych i z aktywności.] <##nDD> ",1,1,,NULL,0
143819,"dekoracja okna",3,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,2,Justyna.Ławniczak,NULL,0
6743,"przekroczyć próg",36,1,0,1,0,"##K: książk. ##D: wejść, najczęściej do domu, miejsca, w którym ktoś mieszka. [##P: Nie waż się więcej przekroczyć progu mojego namiotu!] <##nDD> <##VLC: AK>",1,1,,NULL,1
6772,"przemówić do rozsądku",29,1,0,1,0,"brak danych <##nDD> <##VLC: DZd>",1,1,,NULL,1
6773,"przemówić do rozumu",29,1,0,1,0,"brak danych <##nDD> <##VLC: DZd>",1,1,,NULL,1
6788,"przenieść się do wieczności",28,1,0,1,0,"brak danych <##nDD> <##VLC: PRd>",1,1,,NULL,1
6791,"przeniesienie praw",18,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD> ##A1: 0 ##A2: 0",1,1,,NULL,0
6908,"przewód wentylacyjny",3,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,1,,NULL,0
7043,"przypadać do gustu",35,1,0,1,0,"##K: książk. ##D: sprawiać, że ktoś coś zaczyna lubić, zaczynać się podobać. [##P: Mieliśmy opory przed spróbowaniem kuchni indyjskiej, ale zaczyna nam przypadać do gustu.] <##nDD> <##VLC: ZD>",1,1,,NULL,2
7050,"przypaść do gustu",35,1,0,1,0,"##K: og. ##D: spodobać się, spowodować, że ktoś coś polubi. [##P: Marek i Aśka jakoś tak przypadli sobie do gustu, chociaż nikt ze znajomych nie wróżył im długiego związku.] <##nDD> <##VLC: WY>",1,1,,NULL,1
7078,"przyspieszyć kroku",36,1,0,1,0,"brak danych <##nDD> <##VLC: DZd>",1,1,,NULL,1
611355,"ryba morska",21,2,0,1,0,"##K: og. ##D: ryba żyjąca w morzu. [##W: Popularne, szczególnie w okresie postów, były ryby morskie (zwłaszcza konserwowane i transportowane na spore odległości dorsze i śledzie) i słodkowodne.] <##nDD> ",1,2,Kinga.Banderowicz,NULL,0
7324,"rejon walk",12,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,1,,NULL,0
7443,"ronić łzy",35,1,0,1,4,"##K: książk. ##D: reagować na coś płaczem, najczęściej pod wpływem bólu lub silnych emocji. [##Ko: ronić rzewne łzy] [##Sienkiewicz: Widzę, jak piękne czytelniczki poczynają łzy ronić nad moim bohaterem, a zatém, nim która z nich zemdleje pośpieszam dodać, że jednak bohatér nie umarł z téj rany.] <##nDD> <##VLC: CZ>",1,1,,,2
143699,"obiekt astronomiczny",1,2,0,1,0,"SUMO#AstronomicalBody <##nDD>",1,1,Marek.Maziarz,NULL,0
7596,"rozstać się z życiem",28,1,0,1,0,"brak danych <##nDD> <##VLC: PRd>",1,1,,NULL,1
7933,"sięgać korzeniami",40,1,0,1,0,"brak danych <##nDD> <##VLC: ZD>",1,1,,NULL,2
7977,"skarbnica wiedzy",26,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,1,,NULL,0
8058,"składać pocałunek",33,1,2273,0,0,"##K: og. ##D: całować kogoś lub coś. [##P: Córki zmarłego podchodzą po kolei do trumny i składają pocałunek na jego ręce.] <##nDD> <##VLC: CZ>",1,1,,NULL,2
8138,"snuć wspomnienia",30,1,231,0,0,"wspomnienia <##nDD> <##VLC: CZ>",1,1,,NULL,2
8168,"spadek napięcia",9,2,0,1,0,"##K: og. ##D: obniżenie napięcia nerwowego. [##P: ] {##L: } <##s> <##nDD>",1,1,,NULL,0
8179,"specjalista od public relations",15,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>
##A1: 0 ##A2: 0",1,1,,NULL,0
8250,"sposób rozumowania",6,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##s> <##nDD>",1,1,,NULL,0
143432,"zrobienie roszady",2,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,2,Marta.Dobrowolska,NULL,0
8354,"środek przekazu",3,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,1,,NULL,0
8367,"stać po stronie",39,1,0,1,2,"##K: og. ##D: popierać kogoś. [##Ko: stać po czyjejś stronie] [##W: Bitwa stoczona została w pobliżu Bradford. Hrabia Newcastle, wódz armii Rojalistów maszerował do Bradford (który stał po stronie Parlamentu) z armią liczącą 10 000 żołnierzy.] [##W:  W sporze o władzę w Niemczech toczonym wówczas między Hohenstaufami i Welfami Albrecht stał po stronie Filipa Szwabskiego, ale po jego śmierci w 1208 r. przeszedł na stronę Ottona IV i stał u jego boku aż do momentu, gdy sprawa Welfów była już całkiem przegrana (1217).] <##nDD> <##VLC: CZ>",1,1,,"Powinno się wyróżnić nowe znaczenie/a "stać" dla kolokacji typu "stać za sukcesem firmy", "stać po stronie ludu", "stać tam, gdzie kiedyś ZOMO". Z wielowyrazowców być może należy wyróżnić "stać murem" - trzeba to zbadać, przemyśleć.",2
8386,"stan posiadania",18,2,0,1,0,"##K: og. ##D: ogół rzeczy i środków, które ktoś (człowiek lub instytucja) posiada. [##P: Dzięki hossie giełdowej spółka zwiększyła swój stan posiadania.] <##nDD>",1,1,,NULL,0
8440,"stawiać wniosek",30,1,1320,0,0,"np. warunki <##nDD> <##VLC: CZ, ZD>",1,1,,NULL,2
8488,"stracić życie",28,1,0,1,0,"brak danych <##nDD> <##VLC: PRd>",1,1,,NULL,1
8550,"stwarzać pozory",37,1,0,1,0,"brak danych <##nDD> <##VLC: CZ>",1,1,,NULL,2
8576,"substancja jadalna",24,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##s> <##nDD>",1,1,,NULL,0
8823,"sztuka leczenia",6,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,1,,NULL,0
9036,"tracić życie",31,1,0,1,0,"brak danych <##nDD> <##VLC: ZD>",1,1,,NULL,2
9134,"trzymać stronę",39,1,0,1,0,"##K: og. ##D: popierać kogoś. [##Ko: trzymać czyjąś stronę] [##W: Po pojedynku bóg obdarł sylena ze skóry, zaopatrzył Midasa, który trzymał stronę sylena, w ośle uszy.] [##W: Mając w pamięci osąd Parysa, pomimo palladionu w wojnie trojańskiej Ateny trzymała stronę Greków.] <##nDD> <##VLC: CZ>",1,1,,NULL,2
68300,"lista obecności",3,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,3,Aleksandra.Pawlikowska,NULL,0
9261,"uczynić coś złego",35,1,0,1,0,"brak danych <##nDD> <##VLC: AK>",1,1,,NULL,1
9292,"udzielać wypowiedzi",30,1,1289,0,0,"brak danych <##nDD> <##VLC: CZ>",1,1,,NULL,2
9294,"udzielić wypowiedzi",30,1,1561,0,0,"brak danych <##nDD> <##VLC: AK>",1,1,,NULL,1
9310,"ująć za serce",35,1,0,1,0,"brak danych <##nDD> <##VLC: WY>",1,1,,NULL,1
9344,"układ ciała",4,2,0,1,0,"##K: og. ##D: ułożenie, w jakim znajduje się ciało. [##W: Według Jana Białostockiego Daumier nawiązał układem ciała martwego robotnika do typu ikonograficznego wykorzystanego przez Rubensa w obrazie Opłakiwanie.] <##nDD>",1,1,,NULL,0
9427,"upaść na duchu",35,1,0,1,0,"brak danych <##nDD> <##VLC: WY>",1,1,,NULL,1
78477,"wstępować w związek małżeński",39,1,0,1,0,"brak danych <##nDD> <##VLC: DZn>",1,3,Aleksandra.Pawlikowska,NULL,2
9938,"wisieć nad głową",35,1,0,1,0,"brak danych <##nDD> <##VLC: ST>",1,1,,NULL,2
10022,"wpaść na pomysł",29,1,0,1,0,"<##nDD> <##VLC: AK>",1,1,,NULL,1
10158,"wtrącić swoje trzy grosze",30,1,0,1,0,"brak danych <##nDD> <##VLC: AK>",1,1,,NULL,1
10202,"wyciągać konsekwencje",39,1,0,1,0,"brak danych <##nDD> <##VLC: CZ>",1,1,,NULL,2
10203,"wyciągać rękę",36,1,0,1,0,"sięgać po coś <##nDD> <##VLC: DZn>",1,1,,NULL,2
10205,"wyciągnąć konsekwencje",39,1,0,1,0,"brak danych <##nDD> <##VLC: AK>",1,1,,NULL,1
10206,"wyciągnąć rękę",36,1,0,1,0,"sięgnąć po coś <##nDD> <##VLC: DZd>",1,1,,NULL,1
10250,"wydobyć z niepamięci",29,1,0,1,0,"brak danych <##nDD> <##VLC: DZd>",1,1,,NULL,1
10251,"wydobyć z zapomnienia",29,1,0,1,0,"brak danych <##nDD> <##VLC: DZd>",1,1,,NULL,1
10253,"wydobywać z niepamięci",29,1,0,1,0,"brak danych <##nDD> <##VLC: CZ>",1,1,,NULL,2
10254,"wydobywać z zapomnienia",29,1,0,1,0,"brak danych <##nDD> <##VLC: CZ>",1,1,,NULL,2
10362,"wylewać łzy",35,1,0,1,4,"##K: książk. ##D: reagować na coś płaczem, najczęściej pod wpływem bólu lub silnych emocji. [##P: Dziewczynka wylewała rzewne łzy zawsze, gdy widziała czyjąś krzywdę.] <##nDD> <##VLC: CZ>",1,1,,,2
10382,"wymierzyć sprawiedliwość",39,1,0,1,0,"brak danych <##nDD> <##VLC: AK>",1,1,,NULL,1
10405,"wynik badania",3,2,5131,0,0,"##K:  ##D: . [##P: ] {##L: } <##s> <##nDD>",1,1,,NULL,0
10469,"wyprowadzić z równowagi",35,1,0,1,0,"brak danych <##nDD> <##VLC: WY>",1,1,,NULL,1
10528,"wyrządzić krzywdę",35,1,228,0,0,"brak danych <##nDD> <##VLC: AK>",1,1,,NULL,1
10577,"wysuwać wniosek",30,1,0,1,0,"np. wniosek, postulat, żądanie <##nDD> <##VLC: CZ, ZD>",1,1,,NULL,2
10593,"wytracać prędkość",36,1,0,1,0,"brak danych <##nDD> <##VLC: DZn>",1,1,,NULL,2
10595,"wytracić prędkość",36,1,0,1,0,"brak danych <##nDD> <##VLC: DZd>",1,1,,NULL,1
10625,"wywierać wpływ",29,1,0,1,0,"brak danych <##nDD> <##VLC: DZn>",1,1,,NULL,2
10633,"wywołać z pamięci",29,1,0,1,0,"brak danych <##nDD> <##VLC: DZd>",1,1,,NULL,1
10636,"wywoływać z pamięci",29,1,0,1,0,"brak danych <##nDD> <##VLC: CZ>",1,1,,NULL,2
10734,"władza ludu",26,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,1,,NULL,0
10822,"zachować w pamięci",29,1,0,1,0,"brak danych <##nDD> <##VLC: DZd>",1,1,,NULL,1
10834,"zaciągnąć dług",38,1,0,1,0,"brak danych <##nDD> <##VLC: AK, WY>",1,1,,NULL,1
10835,"zaciągnąć pożyczkę",38,1,0,1,0,"brak danych <##nDD> <##VLC: AK, WY>",1,1,,NULL,1
10863,"zadać cios",31,1,0,1,0,"uderzyć <##nDD> <##VLC: AK>",2,1,,NULL,1
10887,"żądza sukcesu",9,2,0,1,0,"##K: og. ##D: intensywna chęć osiągnięcia powodzenia, bez względu na koszty i warunki. [##P: Żądza sukcesu sprawiła, że zerwał wszelkie relacje, skłócił się z rodziną i myślał tylko o awansie.] {##L: } <##nDD>
##A1: {radość, smutek, złość; użyteczność, krzywda, błąd} amb [Dzięki wielkiej żądzy sukcesu udało mi się wygrać.] [Przez żądzę sukcesu zostawił rodzinę.] ##A2: {radość, smutek, złość; użyteczność, krzywda, błąd} amb [Gdyby nie jego żądza sukcesu, nie zdołałby tak ciężko pracować.] [Żądza sukcesu zaślepiła go i znieczuliła na krzywdę innych.]",1,1,,NULL,0
10942,"zająć miejsce",28,1,0,1,0,"##K: og. ##D: zastąpić kogoś na jakiś stanowisku, przejąć czyjeś funkcje. [##Ko: zająć czyjeś miejsce] [##P: Papież Franciszek zajął miejsce Benedykta na Piotrowym Tronie.] <##nDD> <##VLC: WY>",2,1,,NULL,1
10944,"zająć stanowisko",29,1,0,1,0,"brak danych <##nDD> <##VLC: AK>",1,1,,NULL,1
10950,"zajmować miejsce",28,1,0,1,0,"##K: og. ##D: zastępować kogoś na jakiś stanowisku, przejmować czyjeś funkcje. [##Ko: zajmować czyjeś miejsce] [##P: Pani Anders zajmuje miejsce Bartoszewskiego w Radzie Ochrony Pamięci Walki i Męczeństwa.] <##nDD> <##VLC: ZD>",2,1,,NULL,2
10972,"zakończyć życie",28,1,0,1,0,"brak danych <##nDD> <##VLC: PRd>",1,1,,NULL,1
11070,"zanosić modły",30,1,0,1,0,"brak danych <##nDD> <##VLC: CZ, ZD>",1,1,,NULL,2
11113,"zapisać w pamięci",29,1,0,1,0,"brak danych <##nDD> <##VLC: DZd>",1,1,,NULL,1
11155,"zapuścić oko",37,1,0,1,0,"brak danych <##nDD> <##VLC: AK>",1,1,,NULL,1
11156,"zapuścić spojrzenie",37,1,0,1,0,"brak danych <##nDD> <##VLC: AK>",1,1,,NULL,1
11157,"zapuścić wzrok",37,1,0,1,0,"brak danych <##nDD> <##VLC: AK>",1,1,,NULL,1
11159,"zapuszczać oko",37,1,0,1,0,"brak danych <##nDD> <##VLC: CZ>",1,1,,NULL,2
11160,"zapuszczać spojrzenie",37,1,0,1,0,"brak danych <##nDD> <##VLC: CZ>",1,1,,NULL,2
11161,"zapuszczać wzrok",37,1,0,1,0,"brak danych <##nDD> <##VLC: CZ>",1,1,,NULL,2
11220,"zasięgać opinii",30,1,0,1,0,"rady, opinii <##nDD> <##VLC: CZ, ZD>",1,1,,NULL,2
11221,"zasięgnąć rady",30,1,241,0,0,"brak danych <##nDD> <##VLC: AK, WY>",1,1,,NULL,1
11403,"zbiór praw",3,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,1,,NULL,0
11404,"zbiór przepisów",3,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,1,,NULL,0
11432,"zdawać relację",30,1,2416,0,0,"egzamin:relację <##nDD> <##VLC: CZ>",1,1,,NULL,2
11521,"zespół wokalny",11,2,0,1,0,"##K: og. ##D: grupa osób wspólnie wykonujących muzykę z wykorzystaniem głosów. [##W: W konkursie biorą udział chóry amatorskie i zespoły wokalne w jednej z dwu kategorii: chórów kościelnych lub chórów świeckich.] {##L: } <##s> <##nDD>",1,1,,NULL,0
11618,"zjawisko naturalne",16,2,1075,0,0,"##K: og. ##D: zdarzenie, które nie jest efektem działalności człowieka, lecz przyrody. {##L: http://pl.wikipedia.org/wiki/Zjawisko_naturalne} <##nDD> ",1,1,,NULL,0
11707,"znak dodawania",7,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,1,,NULL,0
