	type	first_word	first_word_lemma	first_word_id	second_word	second_word_lemma	second_word_id	full_mwe	full_mwe_lemma	sentence
504	ADP+NOUN	w	w	3	życie	życie	4	w życie	w życie	We wchodzącym dzisiaj w życie roporządzeniu ministra spraw wewnętrznych i administracji za niebezpieczne uznano rasy : buldog amerykański , dog argentyński , amerykański pit bulterier , perro de Presa Mallorquin , perro de Presa Canario , tosa inu , rottweiler , akbash dog , anatolian karabasha , moskiewski stróżujący i owczarek kaukaski .
516	VERB+PRON	dało	dać	16	się	się	17	dało się	dać się	- Ta chałupka to była ruina , trzeba ją było doprowadzić do takiego stanu , żeby dało się mieszkać .
519	VERB+NOUN	spędzała	spędzać	6	sen	sen	7	spędzała sen	spędzać sen	Przez dwa lata działalność 43-letniego szantażysty spędzała sen z powiek niemieckim konsumentom .
539	VERB+NOUN	Ma	mieć	0	kłopoty	kłopot	1	Ma kłopoty	mieć kłopot	Ma kłopoty z koordynacją ruchów , ale przede wszystkim z mówieniem .
576	VERB+PRON	składa	składać	14	się	się	15	składa się	składać się	Jeśli sąd rejonowy orzekał w składzie jednego sędziego i dwóch ławników , sąd apelacyjny składa się z trzech sędziów zawodowych i dwóch ławników .
588	VERB+ADP	jest	być	5	w	w	6	jest w	być w	Jeśli istnieje coś , co jest w stanie zjednoczyć wszystkich Greków , niezależnie od tego , kim są i jakie wyznają poglądy , to jest to bez wątpienia problem Cypru .
600	VERB+PRON	rzuca	rzucać	5	się	się	6	rzuca się	rzucać się	W numerze wydanym przez Movex rzuca się w oczy kilkustronicowy wstępniak .
601	ADP+NOUN	w	w	7	oczy	oko	8	w oczy	w oko	W numerze wydanym przez Movex rzuca się w oczy kilkustronicowy wstępniak .
621	ADP+NOUN	na	na	3	scenę	scena	4	na scenę	na scena	Po tym orzeczeniu na scenę wkroczył Ogólnopolski Związek Zawodowy Lekarzy .
626	VERB+NOUN	mam	mieć	2	wątpliwości	wątpliwość	3	mam wątpliwości	mieć wątpliwość	- Nie mam wątpliwości , że za całą tą operacją stał Borkowski .
634	VERB+PRON	zastanawiam	zastanawiać	5	się	się	6	zastanawiam się	zastanawiać się	Nastolatki to geniusze marketingu i zastanawiam się , czy ich wirtualne przedsiębiorstwa nie przynoszą więcej niż zarobki rodziców przemnażając te dziesięć złotych przez kilkadziesiąt osób , które były na tym jednym z setek światów i czy w takim razie rodzice przychodzą , nudząc : „ Dlaczego się nie uczysz ” , czy raczej zaganiają do wymyślania następnych promocji na ajtemiki .
638	VERB+PRON	Mieści	mieścić	0	się	się	1	Mieści się	mieścić się	Mieści się tu Rektorat Uniwersytetu oraz aula , w której odbywają się koncerty Filharmonii Poznańskiej i konkursy skrzypcowe im . Henryka Wieniawskiego .
653	VERB+PRON	chwali	chwalić	8	się	się	9	chwali się	chwalić się	Do dzisiaj pomimo ogromnej do mnie nienawiści żona chwali się przed koleżankami , jak ogromną dysponowała swobodą w trakcie małżeństwa .
662	VERB+NOUN	miała	mieć	10	miejsce	miejsce	11	miała miejsce	mieć miejsce	Osobom poszkodowanym w katastrofie hali targowej w Katowicach , która miała miejsce 28 stycznia , wypłacono dotąd zaliczki na ponad połowę kwoty polisy , na którą od odpowiedzialności cywilnej ubezpieczony był właściciel zawalonej hali , a więc Międzynarodowe Targi Katowickie .
666	VERB+PRON	trzymały	trzymać	11	się	się	12	trzymały się	trzymać się	O ile jednak inne narzecza niemieckie , wskutek bliskości geograficznej , trzymały się niejako razem - o tyle odseparowany geograficznie i kulturowo yiddish ewoluował w kierunku samodzielnego języka .
680	NOUN+PROPN	trybu	tryb	11	życia	życie	12	trybu życia	tryb życie	Niestety , jej pensja okazała się za mała w stosunku do trybu życia , jakie prowadziła córka słynnego aktora .
707	ADJ+PRON	składającej	składać	19	się	się	20	składającej się	składać się	Zdaniem wybitnego prawnika nadanie nowych zadań dla KRS musiałoby musiało by doprowadzić do powołania nowej i kosztownej struktury , składającej się z sędziów wyłączonych z orzekania , którzy - w ocenie byłego I prezesa Sądu Najwyższego - wcześniej czy później wyalienowaliby wyalienowali by się od rzeczywistości w pracy wymiaru sprawiedliwości .
721	VERB+PRON	ukazał	ukazać	8	się	się	9	ukazał się	ukazać się	"15 grudnia w "" International Herald Tribune "" ukazał się interesujący artykuł Petera Finna "" Polish Filmmaking Stages an Epic Return "" o odradzaniu się kina w Polsce , którego duży fragment dotyczy Andrzeja Wajdy i "" Pana Tadeusza "" ."
726	VERB+PRON	mieści	mieścić	7	się	się	8	mieści się	mieścić się	Regionalne Centrum Krwiodawstwa i Krwiolecznictwa w Radomiu mieści się przy ulicy Limanowskiego 42 , telefon centrala : 0 48 / 362 11 27 do 29 .
730	VERB+PRON	zastanawia	zastanawiać	9	się	się	10	zastanawia się	zastanawiać się	- Może to była zemsta za zawiadomienie prokuratury - zastanawia się dyrektor Orzeł-Łysiak .
759	VERB+ADP	jest	być	3	w	w	4	jest w	być w	"Jego kosztów nie jest w stanie udźwignąć samodzielnie ani gmina , ani kopalnia "" Bolesław Śmiały "" ."
771	VERB+PRON	uniósł	unieść	2	się	się	3	uniósł się	unieść się	Podobno minister uniósł się honorem i wycofał z negocjacji w Brukseli .
773	VERB+PRON	dało	dać	3	się	się	4	dało się	dać się	Mimo operacji nie dało się go uratować .
798	VERB+PRON	Daje	dawać	1	się	się	2	Daje się	dawać się	- Daje się zauważyć wpływ posiadania złotej karty na zwiększenie częstotliwości zakupów w naszym sklepie - uważa Ewa Żelichowska .
801	VERB+PRON	skarżył	skarżyć	7	się	się	8	skarżył się	skarżyć się	W poniedziałek miał gorączkę 39 stopni i skarżył się na bóle brzucha .
815	VERB+PRON	da	dać	2	się	się	3	da się	dać się	A może da się go jeszcze uprościć ?
818	VERB+PRON	ukazała	ukazać	19	się	się	20	ukazała się	ukazać się	"W przedostatnim w 1999 roku numerze "" Polityki "" , pod nową winietą Dwa Jerze . . . , ukazała się podwójna recenzja , Jerzego Waldorffa i Jerzego Kisielewskiego , poznańskiego koncertu Krystiana Zimermana ."
831	VERB+PRON	podzielił	podzielić	1	się	się	2	podzielił się	podzielić się	Adam podzielił się swoim pierwszym wrażeniem na temat Klaudii , dodając , że się pomylił .
835	VERB+PRON	zdecydowała	zdecydować	14	się	się	15	zdecydowała się	zdecydować się	Dlatego telewizja publiczna w kraju , w którym islam wyznawany jest przez większość , zdecydowała się zdjąć bajkę z anteny .
866	VERB+PRON	robi	robić	3	się	się	4	robi się	robić się	Przy -20 nawierzchnia robi się krucha i potrafi rozkruszyć się od wibracji i nacisku opon .
870	VERB+PRON	rzuca	rzucać	19	się	się	20	rzuca się	rzucać się	Dlaczego kiedy premier Polski - tak jak premier Cimoszewicz przed kilkoma miesiącami - odwiedza Izrael , jedyne , co rzuca się w oczy , to stare waśnie i nieporozumienia , które czają się przy każdym punkcie programu wizyty ?
871	ADP+NOUN	w	w	21	oczy	oko	22	w oczy	w oko	Dlaczego kiedy premier Polski - tak jak premier Cimoszewicz przed kilkoma miesiącami - odwiedza Izrael , jedyne , co rzuca się w oczy , to stare waśnie i nieporozumienia , które czają się przy każdym punkcie programu wizyty ?
876	ADP+NOUN	ze	z	3	wstydu	wstyd	4	ze wstydu	z wstyd	Niech się palą ze wstydu , gdy Polska będzie płacić Niemcom za prąd pochodzący z takiego źródła , jak właśnie elektrownie atomowe .
893	VERB+PRON	decydując	decydować	11	się	się	12	decydując się	decydować się	O realizacji obu inwestycji postanowiła w ub . roku Rada Miejska decydując się na emisję obligacji komunalnych .
903	VERB+PRON	zastanawiam	zastanawiać	11	się	się	12	zastanawiam się	zastanawiać się	Skoro porażka ze Słowacją 1 : 4 była kompromitacją , to zastanawiam się , jak nazwać rezultat z Hongkongu .
932	VERB+PRON	da	dać	3	się	się	4	da się	dać się	"Bez satanizmu nie da się tego robić "" ."
935	VERB+NOUN	ma	mieć	21	wątpliwości	wątpliwość	22	ma wątpliwości	mieć wątpliwość	"Maciej Łopiński z Kancelarii Prezydenta stwierdził , że "" generał Jaruzelski spełnia formalne kryteria dla odznaczenia Krzyżem Zesłańców Sybiru , ale ma wątpliwości co do kryterium zasłużony w walce o niepodległość i wolność "" ."
938	ADP+NOUN	do	do	22	dymisji	dymisja	23	do dymisji	do dymisja	"Po prof . Stanisławie Okularczyku to kolejny zastępca ministra Jurgiela żegnający się z resortem , a według "" Gazety Wyborczej "" , do dymisji chce podać się także prof . Andrzej Kowalski ."
945	ADP+NOUN	na	na	20	stanowisko	stanowisko	21	na stanowisko	na stanowisko	Młodszy insp . Cezary Jamrozik , główny księgowy Komendy Wojewódzkiej Policji w Łodzi , został powołany przez komendanta głównego policji na stanowisko zastępcy dyrektora Biura Finansów Komendy Głównej Policji .
953	VERB+PRON	chwali	chwalić	27	się	się	28	chwali się	chwalić się	- A jeszcze wcześniej , bo w 2007 roku , policjanci z Cieszyna uczyli się języka czeskiego , zaś ci z jednostki w Żywcu - słowackiego - chwali się kom . Wójciak .
1025	ADP+NOUN	na	na	17	konto	konto	18	na konto	na konto	W dziewiątej rundzie Gołota znów przyśpieszył i sędziowie , chyba bez większych oporów , mogli zapisać ją na konto polskiego pięściarza .
1027	ADP+NOUN	na	na	2	końcu	koniec	3	na końcu	na koniec	Miał już na końcu jeżyka pytanie , ile waży Diglator , ale nie chcąc się blamować ignorancją , wziął latarkę od Gossego i ruszył wzdłuż stopy olbrzyma .
1034	VERB+NOUN	mieć	mieć	3	zaufanie	zaufanie	4	mieć zaufanie	mieć zaufanie	- Skąd mogę mieć zaufanie ?
1041	VERB+NOUN	Ma	mieć	0	obowiązek	obowiązek	1	Ma obowiązek	mieć obowiązek	Ma obowiązek objawić rzeczywistość swoją i rzeczywistość swojego otoczenia , to znaczy tę , która wpływała na kształtowanie jego rzeczywistości , w tym wypadku mam na myśli naród - kończy Vilbert recytując to z powagą niby werset Pisma świętego w Wielki Piątek .
1043	VERB+NOUN	miały	mieć	10	miejsce	miejsce	11	miały miejsce	mieć miejsce	Nie sposób jednak nie zapytać , gdzie wtedy , gdy miały miejsce opisywane zdarzenia , byli członkowie zarządu PZU ?
1051	VERB+PRON	skarżyli	skarżyć	15	się	się	16	skarżyli się	skarżyć się	Jak poinformował rzecznik Sony Computer Entertainment , spółki wyspecjalizowanej w produkcji gier , nabywcy konsoli skarżyli się na trudności z odtwarzaniem cyfrowych dysków wideo , DVD .
1079	VERB+PRON	zdecydowano	zdecydować	10	się	się	11	zdecydowano się	zdecydować się	Początkowo planowano zacząć od tradycyjnego przecięcia wstęgi , ale ostatecznie zdecydowano się nie blokować ruchu na tak ważnej trasie .
1088	VERB+PRON	chwali	chwalić	2	się	się	3	chwali się	chwalić się	Trzy czwarte chwali się , że zdołało zachować zdrowie , 69 proc . - spokój i pogodę ducha , 48 proc . - zrobić coś , z czego są dumni , 42 proc . - zdobyć szacunek ważnych dla siebie osób .
1091	VERB+ADP	jest	być	11	w	w	12	jest w	być w	Na obiedzie usłyszał em , że pewnej mojej prośby Cheng nie jest w stanie spełnić .
1096	VERB+PRON	ma	mieć	1	się	się	2	ma się	mieć się	Inaczej ma się sprawa z Odrą , która wyjeżdża do Kietrza na derbowy pojedynek z grającym coraz lepiej Włókniarzem .
1102	VERB+PRON	zastanawiała	zastanawiać	20	się	się	21	zastanawiała się	zastanawiać się	- Mógłby Mógł by wisieć na ścianie , ale może lepiej , żeby stał na stoliku , co ? - zastanawiała się Karolcia .
1122	VERB+PRON	zastanawiali	zastanawiać	5	się	się	6	zastanawiali się	zastanawiać się	Trzy kwartały temu kijowscy parlamentarzyści zastanawiali się , co zrobić z niespokojnym lobby kołchozowym , które groziło , że jesienią państwo zostanie bez ziarna i chleba .
1135	VERB+PRON	Zastanawia	zastanawiać	0	się	się	1	Zastanawia się	zastanawiać się	Zastanawia się , jak powiedzieć czternastoletniej córce .
1150	NOUN+NOUN	wotum	wotum	5	nieufności	nieufność	6	wotum nieufności	wotum nieufność	Zrobili to w odpowiedzi na wotum nieufności , które w zeszłym tygodniu postawił wobec premiera prezydent Litwy .
1154	VERB+ADP	są	być	12	w	w	13	są w	być w	Dyrektorzy , nauczyciele , uczniowie mają wiele pytań , na które nie są w stanie uzyskać konkretnych odpowiedzi .
1157	VERB+PRON	Obracał	obracać	0	się	się	1	Obracał się	obracać się	Obracał się w różnym towarzystwie , często bardzo dziwnym - wspomina była żona .
1165	VERB+PRON	Decydując	decydować	0	się	się	1	Decydując się	decydować się	Decydując się na życie mnisze , Siostra odbiera sobie możliwość bycia matką .
1206	VERB+PRON	wyróżnia	wyróżniać	2	się	się	3	wyróżnia się	wyróżniać się	To zwierzę wyróżnia się umiejętnością niesienia pomocy .
1208	VERB+PRON	skarży	skarżyć	19	się	się	20	skarży się	skarżyć się	- Kiedy moja córka chce pobujać się na huśtawce , musimy jeździć do odległego o cztery kilometry Warcina - skarży się mieszkanka Kępic .
1213	VERB+NOUN	miał	mieć	6	miejsce	miejsce	7	miał miejsce	mieć miejsce	Równocześnie ze stanem wojennym w Polsce miał miejsce zamach stanu w Turcji .
1215	VERB+PRON	zastanawiał	zastanawiać	8	się	się	9	zastanawiał się	zastanawiać się	Co to , u diabła , jest , zastanawiał się Szacki , przepisując notatkę .
1222	VERB+PRON	da	dać	1	się	się	2	da się	dać się	Nie da się ukryć ich charakteru .
1223	VERB+PRON	zdecydują	zdecydować	3	się	się	4	zdecydują się	zdecydować się	Rodziny , które zdecydują się kupić na kredyt własne M , mogą liczyć na pomoc finansową .
1260	VERB+PRON	ukazał	ukazać	3	się	się	4	ukazał się	ukazać się	W pierwszym numerze ukazał się obszerny wywiad z byłym koordynatorem ds . służb specjalnych i posłem SLD Zbigniewem Siemiątkowskim .
1266	ADP+NOUN	po	po	5	stronie	strona	6	po stronie	po strona	W zeszłym tygodniu stanął on po stronie zawodników , gdy właściciel klubu Mirosław Stasiak chciał ich ukarać finansowo .
1275	VERB+PRON	decydujemy	decydować	1	się	się	2	decydujemy się	decydować się	Często decydujemy się na położenie w kuchni lub łazience jasnych , pastelowych płytek , szczególnie gdy te pomieszczenia nie są duże .
1286	VERB+PRON	zdecyduj	zdecydować	6	się	się	7	zdecyduj się	zdecydować się	- Przed spotkaniem z wybraną osobą zdecyduj się , czy powiesz to , co masz o sobie powiedzieć z własnej inicjatywy ( sam poruszając temat ) , czy poczekasz na nadarzającą się okazję ( obie wersje są dobre ) .
1293	VERB+PRON	decyduje	decydować	14	się	się	15	decyduje się	decydować się	"Wracają stare , słowiańskie ( i nie tylko ) imiona i coraz więcej rodziców decyduje się dać swoim pociechom te "" zapomniane "" : Sławomir , Stanisław , Antoni , Karol , Krystyna , Barbara , Izabela , Ewa ."
1304	VERB+ADP	będzie	być	4	w	w	5	będzie w	być w	- Ilekroć pan minister będzie w stanie wykonać cięcia budżetowe i przesunąć te pieniądze na służbę zdrowia , to będziemy popierać z entuzjazmem - mówi Rokita .
1317	VERB+PRON	ciągnie	ciągnąć	3	się	się	4	ciągnie się	ciągnąć się	Tylko od frontu ciągnie się szeroka aleja , jakby stworzona dla kolumny czołgów . . .
1335	VERB+PRON	ciągnęły	ciągnąć	13	się	się	14	ciągnęły się	ciągnąć się	Przed i za kolumną biły duże wodotryski ; na prawo i na lewo ciągnęły się już żółknące kępy drzew jak ogrody ; w głębi widać było rzekę , nad którą co chwilę rozsnuwał się dym szybko przelatującego parostatku .
1346	ADP+NOUN	do	do	15	dymisji	dymisja	16	do dymisji	do dymisja	Sprzeciw PO oznacza , że Jarosław Kaczyński musi wybierać : albo PiS-owski rząd poda się do dymisji i wobec niemożności wyłonienia nowego dojdzie do nowych wyborów , albo PiS będzie zmuszony do zawarcia prawdziwej rządowej koalicji .
1359	NOUN+VERB	górą	góra	4	byli	być	5	górą byli	góra być	Jak można było przypuszczać górą byli Europejczycy , którzy wygrali 3 : 1 .
1373	VERB+PRON	daje	dawać	3	się	się	4	daje się	dawać się	W tonie rozmowy daje się wyczuć rozdrażnienie , wręcz agresję .
1402	ADP+PROPN	w	w	23	gardle	gardło	24	w gardle	w gardło	Odnieśli pod koniec roku wielki sukces i 7 stycznia zamierzają odnieść następny , ale jest całkiem możliwe , że sukces im kością stanie w gardle .
1407	ADP+NOUN	w	w	6	słowo	słowo	7	w słowo	w słowo	- No dobrze - wpada mi w słowo - ale jakie to oddziaływanie ?
1409	VERB+NOUN	ma	mieć	11	zaufanie	zaufanie	12	ma zaufanie	mieć zaufanie	- Każdy pracuje z ludźmi , których zna i do których ma zaufanie - uważa minister Borowski .
1417	VERB+PRON	zastanawia	zastanawiać	15	się	się	16	zastanawia się	zastanawiać się	Ajtemików , czyli przedmiotów lub umiejętności , które mogę kupić , jest mnóstwo i Córka zastanawia się , czybym czy by m nie chciał kupić jej ajtemika , który sprawi , że będzie latać .
1432	VERB+NOUN	miały	mieć	16	obowiązek	obowiązek	17	miały obowiązek	mieć obowiązek	Inna , korzystna dla małych firm , propozycja przewiduje , ze regulaminy pracy i wynagrodzenia będą miały obowiązek tworzyć firmy zatrudniające dopiero od 20 , a nie od 5 osób jak teraz .
1470	VERB+PRON	da	dać	23	się	się	24	da się	dać się	W ciszy , jaka powstaje po swarach z oczywistością , po zgiełku proceduralnym w procesie prawdy , gdy już wiadomo , że nie da się jej przekonać do życia po życiu , gdzieś tam za Styksem , w gajach pamięci , oblężonych poprzez nicość .
1488	ADP+NOUN	w	w	5	skład	skład	6	w skład	w skład	Finanse sanepidu zbadała komisja , w skład której weszli przedstawiciele Wydziału Zdrowia i Opieki Społecznej UM , referaty kontroli dyrektora Biura Zarządu Miasta , a także działu kontroli budżetowej .
1491	VERB+PRON	stawiał	stawiać	3	się	się	4	stawiał się	stawiać się	Wcześniej kilkakrotnie nie stawiał się na wezwanie sądu , na przedwczorajszą rozprawę przyszedł w asyście funkcjonariuszy .
1501	VERB+PRON	wypowiadać	wypowiadać	10	się	się	11	wypowiadać się	wypowiadać się	Ani on , ani zastępca Grzegorz Paluch nie chcieli jednak wypowiadać się o całej sprawie na łamach prasy .
1508	VERB+PRON	zdecydowało	zdecydować	13	się	się	14	zdecydowało się	zdecydować się	Dlatego Zgromadzenie będzie popierało pragnienie Warszawy , by NATO jeszcze przed końcem roku zdecydowało się , kiedy i kogo przyjmie - dodał .
1520	VERB+PRON	prezentowała	prezentować	1	się	się	2	prezentowała się	prezentować się	Efektownie prezentowała się ponad 80-letnia maszyna drukarska , wciąż sprawna technicznie .
1529	VERB+NOUN	ma	mieć	3	obowiązku	obowiązek	4	ma obowiązku	mieć obowiązek	Ten jednak nie ma obowiązku wyrażenia zgody .
1539	ADP+NOUN	w	w	44	życie	życie	45	w życie	w życie	Sprawę ich odpowiedzialności uregulował uchwalony wkrótce Akt Konstytucyjny : przed trybunałem specjalnym muszą odpowiadać wszyscy ci , którzy zaplanowali i zorganizowali zamach na demokrację , a także ci , którzy do junty przyłączyli się później , ale odgrywali decydującą rolę we wcielaniu jej decyzji w życie .
1555	ADJ+NOUN	ostatniego	ostatni	16	słowa	słowo	17	ostatniego słowa	ostatni słowo	Za wcześnie dywagować na temat awansu do ligi zawodowej , nie powiedzieliśmy powiedzieli śmy jednak jeszcze ostatniego słowa .
1559	VERB+PRON	chwalą	chwalić	11	się	się	12	chwalą się	chwalić się	Ale . . . w każdym mieście są gabinety , które chwalą się jako bioenergoterapeutyczne .
1564	ADJ+PRON	wyróżniających	wyróżniać	10	się	się	11	wyróżniających się	wyróżniać się	Administracja Lecha Wałęsy nie przewidziała w nim puli na nagradzanie wyróżniających się młodych Polaków .
1574	VERB+PRON	deklaruję	deklarować	43	się	się	44	deklaruję się	deklarować się	"Po informacji na temat kłopotów finansowych pracowników kolumn sanitarnych na Podkarpaciu , jaką zamieścili śmy we wczorajszym wydaniu Super Nowości , zatelefonował do nas pan Jerzy Bryła , właściciel krośnieńskiej firmy Ogłoszenia i Reklamy "" Podkarpacie "" , który powiedział : - Osobiście deklaruję się przekazać pięćset złotych dla kolumny sanitarnej i w związku z tym proszę zainteresowanych o podanie numeru konta ."
1579	VERB+PRON	składa	składać	1	się	się	2	składa się	składać się	Obecnie składa się z 13 części .
1584	ADP+NOUN	na	na	3	nogi	noga	4	na nogi	na noga	Trzeba postawić majątek na nogi .
